state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260825_ky00,20260825,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[32700, 25000, 17300, 25000]",0,0,1,0,1,2,4,3,15400,early
g20260826_ky00,20260826,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[32800, 22400, 22400, 22400]",0,0,1,0,1,2,3,4,10400,early
g20260841_ky00,20260841,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[43000, 7000, 25000, 25000]",0,0,1,0,1,4,2,3,36000,early
g20260838_ky00,20260838,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[37000, 21000, 21000, 21000]",0,0,1,0,1,2,3,4,16000,early
g20260830_ky00,20260830,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[21000, 33000, 23000, 23000]",1,0,0,0,4,1,2,3,12000,early
g20260812_ky00,20260812,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[25000, 25000, 27600, 22400]",1,0,0,0,2,3,1,4,5200,early
g20260829_ky00,20260829,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[23000, 25000, 27000, 25000]",1,0,0,0,4,2,1,3,4000,early
g20260837_ky00,20260837,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[25000, 25000, 23000, 27000]",1,0,0,0,2,3,4,1,4000,early
g20260845_ky00,20260845,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[25000, 24000, 26000, 25000]",1,0,0,0,2,4,1,3,2000,early
g20260823_ky00,20260823,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[21100, 22000, 33900, 23000]",1,0,0,0,4,3,1,2,12800,early
g20260835_ky00,20260835,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[22400, 30200, 23700, 23700]",1,0,0,0,4,1,2,3,7800,early
g20260843_ky00,20260843,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[21100, 32900, 23000, 23000]",1,0,0,0,4,1,2,3,11800,early
g20260817_ky00,20260817,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[36600, 13400, 25000, 25000]",0,0,1,0,1,4,2,3,23200,early
g20260825_ky00,20260825,0,0,0,1,0,"[32700, 25000, 17300, 25000]","[40800, 22300, 14600, 22300]",0,0,2,0,1,2,4,3,26200,early
g20260821_ky00,20260821,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[28000, 24000, 24000, 24000]",0,0,1,0,1,2,3,4,4000,early
g20260831_ky00,20260831,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[24000, 28600, 25000, 22400]",1,0,0,0,3,1,2,4,6200,early
