game_seed,final_scores,final_rank_seat0,final_rank_seat1,final_rank_seat2,final_rank_seat3,kyoku_count
20260831,"[40300, 41400, -100, 18400]",2,1,4,3,5
20260817,"[26400, -2200, 29900, 45900]",3,4,2,1,9
20260830,"[11200, 23500, 42100, 23200]",4,2,1,3,8
20260845,"[24500, 31300, 22400, 21800]",2,1,3,4,8
20260811,"[21200, 21500, 12500, 44800]",3,2,4,1,9
20260840,"[14000, 48300, 22200, 14500]",4,1,2,3,8
20260843,"[26000, 16400, 57100, 500]",2,3,1,4,9
20260823,"[17900, 26900, 33300, 21900]",4,2,1,3,11
20260816,"[33600, -1700, 33000, 35100]",2,4,3,1,10
20260844,"[21300, 4300, 37400, 37000]",3,4,1,2,8
20260833,"[22200, 37900, 20100, 19800]",2,1,3,4,9
20260826,"[38600, 15900, 8900, 36600]",1,3,4,2,9
20260827,"[25100, 27700, 15200, 32000]",3,2,4,1,9
20260835,"[14300, 31200, 28200, 26300]",4,1,2,3,9
20260837,"[29200, 21100, 41700, 8000]",2,3,1,4,10
20260820,"[40600, 28400, 18000, 13000]",1,2,3,4,11
20260825,"[39900, 31400, 12700, 16000]",1,2,4,3,12
20260829,"[13400, 21900, 36000, 28700]",4,3,1,2,9
20260818,"[9600, 16500, 42300, 31600]",4,3,1,2,11
20260819,"[18700, 45200, 24100, 12000]",3,1,2,4,11
20260822,"[19800, 21100, 30300, 28800]",4,3,1,2,11
20260815,"[30800, 25700, 21400, 22100]",1,2,4,3,11
20260836,"[24900, 30100, 25800, 19200]",3,1,2,4,10
20260838,"[12300, 40000, 29300, 18400]",4,1,2,3,11
20260828,"[31800, 22500, 23600, 22100]",1,3,2,4,10
20260812,"[7000, 7900, 52000, 33100]",4,3,1,2,12
20260813,"[11500, 31600, 25600, 31300]",4,1,3,2,11
20260821,"[16500, 6900, 44400, 32200]",3,4,1,2,11
20260814,"[40700, 7500, 10700, 41100]",2,4,3,1,12
20260834,"[17000, 19300, 31700, 32000]",4,3,2,1,11
20260824,"[56800, 22900, 5800, 14500]",1,2,4,3,12
20260842,"[40900, 18900, 16700, 23500]",1,3,4,2,11
20260841,"[43500, 3700, 28500, 24300]",1,4,2,3,12
20260846,"[36000, 23600, 24200, 16200]",1,3,2,4,13
20260832,"[11100, 28300, 27200, 33400]",4,2,3,1,13
20260839,"[34400, 36200, 13000, 16400]",2,1,4,3,14
