state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260811_ky03,20260811,3,0,3,0,0,"[30500, 17500, 23000, 29000]","[24500, 11500, 16000, 48000]",3,0,1,0,2,4,3,1,36500,middle
g20260812_ky02,20260812,2,0,2,1,0,"[10900, 21100, 45600, 22400]","[12400, 19600, 44100, 23900]",3,0,2,0,4,3,1,2,31700,middle
g20260812_ky07,20260812,7,1,3,0,0,"[19300, 11100, 52700, 16900]","[19300, 11100, 48800, 20800]",3,1,1,0,3,4,1,2,37700,late
g20260813_ky05,20260813,5,1,1,0,0,"[17100, 22300, 26300, 34300]","[16600, 21300, 25800, 36300]",2,1,0,0,4,3,2,1,19700,late
g20260813_ky06,20260813,6,1,2,0,0,"[16600, 21300, 25800, 36300]","[16600, 17400, 29700, 36300]",2,1,1,0,4,3,2,1,19700,late
g20260814_ky06,20260814,6,1,2,0,0,"[43400, 11500, 16000, 29100]","[44700, 11500, 14700, 29100]",3,1,0,0,1,4,3,2,33200,late
g20260815_ky01,20260815,1,0,1,0,0,"[19000, 37000, 22000, 22000]","[11300, 37000, 29700, 22000]",2,0,0,0,4,1,2,3,25700,early
g20260815_ky07,20260815,7,1,3,0,0,"[17800, 33500, 24000, 24700]","[23000, 28300, 24000, 24700]",0,2,0,0,4,1,3,2,5300,late
g20260816_ky00,20260816,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[32700, 17300, 25000, 25000]",0,0,1,0,1,4,2,3,15400,early
g20260818_ky01,20260818,1,0,1,0,0,"[24000, 25000, 17000, 34000]","[24000, 25000, 22200, 28800]",2,0,0,0,3,2,4,1,6600,early
g20260818_ky03,20260818,3,0,3,0,0,"[26000, 24500, 21200, 28300]","[22100, 20600, 17300, 40000]",3,0,1,0,2,3,4,1,22700,middle
g20260818_ky06,20260818,6,1,2,2,0,"[12100, 16000, 40800, 31100]","[10600, 17500, 39300, 32600]",3,1,3,0,4,3,1,2,28700,late
g20260819_ky05,20260819,5,1,1,0,0,"[13300, 24100, 40900, 21700]","[9300, 36100, 36900, 17700]",1,1,1,0,4,2,1,3,27600,late
g20260821_ky00,20260821,0,0,0,1,0,"[28000, 24000, 24000, 24000]","[26500, 25500, 22500, 24500]",1,0,2,1,1,2,4,3,4000,early
g20260821_ky01,20260821,1,0,1,2,1,"[26500, 25500, 22500, 24500]","[26500, 25500, 31800, 16200]",2,0,0,0,2,3,1,4,15600,early
g20260824_ky00,20260824,0,0,0,3,0,"[63700, 12100, 12100, 12100]","[63700, 21000, 3200, 12100]",1,0,0,0,1,2,4,3,60500,early
g20260824_ky01,20260824,1,0,1,0,0,"[63700, 21000, 3200, 12100]","[62700, 20000, 2200, 15100]",2,0,1,0,1,2,4,3,60500,early
g20260824_ky02,20260824,2,0,2,1,0,"[62700, 20000, 2200, 15100]","[65000, 19400, 1100, 14500]",3,0,0,0,1,2,4,3,63900,middle
g20260824_ky03,20260824,3,0,3,0,0,"[65000, 19400, 1100, 14500]","[64000, 18400, 4100, 13500]",0,1,1,0,1,2,4,3,59900,middle
g20260824_ky04,20260824,4,1,0,1,0,"[64000, 18400, 4100, 13500]","[59800, 18400, 3100, 18700]",1,1,0,0,1,3,4,2,56700,middle
g20260825_ky00,20260825,0,0,0,2,0,"[40800, 22300, 14600, 22300]","[40800, 19700, 14600, 24900]",1,0,0,0,1,3,4,2,26200,early
g20260825_ky02,20260825,2,0,2,0,0,"[39800, 17700, 18600, 23900]","[40800, 17700, 18600, 22900]",3,0,0,0,1,4,3,2,23100,middle
g20260825_ky07,20260825,7,1,3,1,2,"[35400, 31400, 15000, 16200]","[35400, 31400, 12700, 20500]",3,1,2,0,1,2,4,3,22700,late
g20260828_ky00,20260828,0,0,0,1,0,"[28000, 24000, 24000, 24000]","[28000, 24000, 28200, 19800]",1,0,0,0,2,3,1,4,8400,early
g20260832_ky06,20260832,6,1,2,1,0,"[30000, 23100, 25700, 21200]","[24500, 28600, 25700, 21200]",3,1,0,0,3,1,2,4,7400,late
g20260832_ky07,20260832,7,1,3,0,0,"[24500, 28600, 25700, 21200]","[24500, 26600, 27700, 21200]",0,2,0,0,3,2,1,4,6500,late
g20260832_ky08,20260832,8,2,0,0,0,"[24500, 26600, 27700, 21200]","[24500, 29900, 28000, 17600]",1,2,0,0,3,1,2,4,12300,late
g20260832_ky09,20260832,9,2,1,0,0,"[24500, 29900, 28000, 17600]","[23700, 28300, 27200, 20800]",2,2,0,0,3,1,2,4,7500,late
g20260833_ky01,20260833,1,0,1,0,0,"[25000, 30200, 25000, 19800]","[22000, 30200, 28000, 19800]",2,0,0,0,3,1,2,4,10400,early
g20260833_ky03,20260833,3,0,3,0,0,"[20700, 28900, 25400, 25000]","[23700, 27900, 24400, 24000]",0,1,1,0,4,1,2,3,4200,middle
g20260834_ky04,20260834,4,1,0,0,0,"[17900, 20800, 32200, 29100]","[16900, 19800, 31200, 31100]",1,1,1,1,4,3,1,2,14300,middle
g20260834_ky06,20260834,6,1,2,1,0,"[18000, 17700, 31300, 33000]","[18000, 20300, 29700, 32000]",3,1,0,0,4,3,2,1,14000,late
g20260835_ky07,20260835,7,1,3,0,0,"[16900, 33800, 29200, 20100]","[14300, 31200, 26600, 27900]",3,1,1,0,4,1,3,2,16900,late
g20260836_ky01,20260836,1,0,1,1,0,"[23500, 26500, 26500, 23500]","[24000, 25000, 25000, 25000]",2,0,2,1,4,1,2,3,1000,early
g20260836_ky04,20260836,4,1,0,0,0,"[15100, 22300, 40300, 22300]","[27100, 22300, 28300, 22300]",0,1,1,0,2,3,1,4,6000,middle
g20260837_ky02,20260837,2,0,2,2,0,"[24000, 29800, 20200, 26000]","[32600, 29800, 20200, 17400]",3,0,0,0,1,2,3,4,15200,middle
g20260837_ky03,20260837,3,0,3,0,0,"[32600, 29800, 20200, 17400]","[32100, 32800, 19700, 15400]",0,1,0,0,2,1,3,4,17400,middle
g20260837_ky05,20260837,5,1,1,1,1,"[30600, 31300, 21200, 15900]","[30600, 23000, 31500, 14900]",2,1,0,0,2,3,1,4,16600,late
g20260838_ky02,20260838,2,0,2,0,0,"[28500, 23600, 29900, 18000]","[28800, 20000, 29900, 21300]",3,0,0,0,2,4,1,3,9900,middle
g20260838_ky04,20260838,4,1,0,2,1,"[27700, 17900, 25800, 27600]","[27700, 31500, 25800, 15000]",1,1,0,0,2,1,3,4,16500,middle
g20260839_ky04,20260839,4,1,0,2,1,"[30300, 37200, 23300, 8200]","[31300, 34200, 23300, 9200]",0,1,3,2,2,1,3,4,25000,middle
g20260840_ky03,20260840,3,0,3,0,0,"[18500, 32500, 23700, 25300]","[19000, 31000, 24200, 23800]",0,1,1,2,4,1,2,3,12000,middle
g20260843_ky05,20260843,5,1,1,0,0,"[16900, 21700, 58600, 2800]","[24900, 17700, 56600, 800]",2,1,0,0,2,3,1,4,55800,late
g20260843_ky06,20260843,6,1,2,0,0,"[24900, 17700, 56600, 800]","[26000, 17400, 56100, 500]",3,1,0,0,2,3,1,4,55600,late
g20260844_ky00,20260844,0,0,0,0,0,"[25000, 25000, 25000, 25000]","[25000, 25000, 25000, 25000]",1,0,1,0,1,2,3,4,0,early
g20260844_ky02,20260844,2,0,2,0,0,"[26300, 25000, 23700, 25000]","[25300, 24000, 22700, 27000]",3,0,1,1,2,3,4,1,4300,middle
g20260845_ky05,20260845,5,1,1,0,0,"[24500, 30500, 18200, 26800]","[23800, 29200, 21900, 25100]",2,1,0,0,3,1,4,2,7300,late
g20260846_ky04,20260846,4,1,0,1,0,"[23000, 28300, 16300, 32400]","[35900, 28300, 3400, 32400]",0,1,2,0,1,3,4,2,32500,middle
