decision_id,year,game_id,kyoku_index,seat,decision_index,expert_action,top1_action,top2_action,top3_action,top4_action,pi1,pi2,pi3,pi4,gap12,gap13,gap14,log_gap12,policy_entropy,top4_cum_prob,expert_is_top1,expert_in_top4,gap_bucket,n_worlds,mean_a,mean_b,mean_c,mean_d,std_a,std_b,std_c,std_d,se_a,se_b,se_c,se_d,delta_ba_mean,delta_ba_std,delta_ba_se,delta_ba_ci95_lo,delta_ba_ci95_hi,delta_ca_mean,delta_ca_std,delta_ca_se,delta_ca_ci95_lo,delta_ca_ci95_hi,delta_da_mean,delta_da_std,delta_da_se,delta_da_ci95_lo,delta_da_ci95_hi,teacher_best,verdict95,verdict80,determined95,determined80,group,audit_b_rank,audit_b_action,matched_override_id,match_distance,status,n_worlds_failed,mean_r_a,mean_r_b,std_r_a,std_r_b,mean_delta_full,median_delta_full,std_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,unresolved_type,keep_resolution,predicted_delta_grp,predicted_delta_grp_se,predicted_delta_grp_ci_lo,predicted_delta_grp_ci_hi,strongest_challenger_rank,strongest_challenger_delta_grp,round_wind_meta,kyoku_meta,honba_meta,legal_action_count,top1_in_legal,b_in_legal,reconstruction_ok
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,2024,2024091920gm-00a9-0000-49049014,5,0,8,29,50,29,47,27,0.6955512166023254,0.185750812292099,0.05441058427095413,0.05356192588806152,0.5098004043102264,0.6411406323313713,0.6419892907142639,1.3202985919989243,0.936564028263092,0.9892745390534401,False,True,50_70,256,-2.349384499306325,-3.208279271131687,-3.1543149440494744,-2.9444545448350254,2.5761293802143985,2.937839642608168,2.5276797665433923,2.2979229564799497,0.3220161725267998,0.367229955326021,0.31595997081792404,0.2872403695599937,-0.8588947718253621,3.5342350393183017,0.4417793799147877,-1.724782356458346,0.006992812807621762,-0.8049304447431496,3.392993388931404,0.4241241736164255,-1.6362138250313436,0.026352935545044476,-0.5950700455287006,2.99985154047645,0.37498144255955623,-1.3300336729454307,0.13989358188802958,1,keep_top1,keep_top1,False,True,keep_control,4,27,2025-2025011023gm-00a9-0000-6d5806f0-05-s0-d13,1.2995,ok,0,-2.4921875,-3.234375,6.954751338219835,6.714905135621215,-0.7421875,0.0,8.713069825515788,0.5445668640947368,-1.809538553625684,0.32516355362568405,UNRESOLVED,high_variance,KEEP_UNRESOLVED,-0.5950700455287006,0.37498144255955623,-1.3300336729454307,0.13989358188802958,4,-0.5950700455287006,1,0,2,11,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,2024,2024093020gm-00a9-0000-4385d1bc,7,1,3,63,44,63,67,3,0.38223761320114136,0.3628547489643097,0.25401532649993896,0.0008121503051370382,0.019382864236831665,0.1282222867012024,0.3814254628960043,0.052039825723483535,1.0902128219604492,0.999919838970527,False,True,lt005,256,-2.5289606071673916,-2.9152238185924944,-2.9019089145294856,-2.708722320603556,2.428816100206719,2.149351543914118,2.053873904236137,2.6000500203884886,0.2146790418389045,0.18997763148193103,0.18153852067343276,0.22981412510511517,-0.3862632114251028,2.778406114869656,0.2455787255893129,-0.8675975135801561,0.09507109072995051,-0.37294830736209406,2.651552271057971,0.2343663239419602,-0.832306302288336,0.08640968756414791,-0.17976171343616443,2.739532932481453,0.24214278923018795,-0.6543615803273328,0.29483815345500397,1,keep_top1,keep_top1,False,False,keep_control,4,3,2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,0.6376,ok,0,-2.5703125,-1.796875,6.684114728659462,6.861497435605695,0.7734375,0.0,8.385528939085196,0.5240955586928248,-0.2537897950379364,1.8006647950379364,UNRESOLVED,high_variance,KEEP_UNRESOLVED,-0.17976171343616443,0.24214278923018795,-0.6543615803273328,0.29483815345500397,4,-0.17976171343616443,0,3,2,14,True,True,True
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,2025,2025011200gm-00a9-0000-18c17918,1,0,4,60,60,67,11,1,0.7347393035888672,0.26006725430488586,0.004540934693068266,0.0005026111612096429,0.4746720492839813,0.7301983688957989,0.7342366924276575,1.0385754793315645,0.606563150882721,0.999850103748031,True,True,20_50,256,5.243265253557183,5.031315149186412,4.457168516310048,4.991967570353154,1.4017506708495135,1.329735450800395,1.6520380236086576,1.7819797367677304,0.1752188338561892,0.16621693135004936,0.2065047529510822,0.2227474670959663,-0.21195010437077144,1.4401759282213524,0.18002199102766905,-0.5647932067850028,0.1408929980434599,-0.786096737247135,1.651383411484968,0.206422926435621,-1.190685673060952,-0.3815078014333179,-0.25129768320402945,1.817797431043776,0.227224678880472,-0.6966580538097545,0.19406268740169563,1,keep_top1,keep_top1,False,False,keep_control,2,67,2025-2025041522gm-00a9-0000-b0bc1a7b-01-s1-d2,1.1297,ok,0,5.296875,5.3125,5.999162523252071,6.0400623292459885,0.015625,0.0,4.895751459473936,0.305984466217121,-0.5841045537855571,0.6153545537855571,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.21195010437077144,0.18002199102766905,-0.5647932067850028,0.1408929980434599,2,-0.21195010437077144,0,0,1,14,True,True,True
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,2025,2025040820gm-00a9-0000-57062ba3,1,3,4,44,51,39,3,44,0.7255270481109619,0.21187350153923035,0.031619295477867126,0.022356366738677025,0.5136535465717316,0.6939077526330948,0.7031706813722849,1.2309089479283082,0.8064846992492676,0.9913762118667364,False,True,50_70,256,0.19550890621030703,-0.26585631107445806,-0.1939499870641157,-0.43818991200532764,2.5390967743921005,2.126368797831226,2.477224177727374,2.1413653478965027,0.31738709679901256,0.2657960997289032,0.3096530222159217,0.26767066848706283,-0.4613652172847651,2.5439188370112262,0.3179898546264033,-1.0846253323525155,0.16189489778298527,-0.38945889327442273,2.587983154298233,0.3234978942872791,-1.0235147660774897,0.24459697952864423,-0.6336988182156347,2.506984244643886,0.31337303058048577,-1.2479099581533868,-0.01948767827788256,1,keep_top1,keep_top1,False,False,keep_control,3,3,2024-2024122023gm-00a9-0000-df6602c9-02-s2-d15,0.6762,ok,0,0.3515625,0.015625,7.644133820305941,7.716531146906392,-0.3359375,0.0,9.402358772680188,0.5876474232925117,-1.487726449653323,0.8158514496533229,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.38945889327442273,0.3234978942872791,-1.0235147660774897,0.24459697952864423,3,-0.38945889327442273,0,0,1,14,True,True,True
2025-2025040821gm-00a9-0000-b7ac449d-06-s3-d8,2025,2025040821gm-00a9-0000-b7ac449d,6,3,8,63,67,63,42,45,0.5539445877075195,0.3848936855792999,0.03821606934070587,0.022768307477235794,0.1690509021282196,0.5157285183668137,0.5311762802302837,0.36409750475486546,0.9073365926742554,0.9998226501047611,False,True,05_20,256,6.912128880246655,6.654431858929229,6.322285478504824,6.401918910903532,2.6848955798463643,2.675700079547262,2.6883556401564204,2.6527564535174246,0.33561194748079554,0.33446250994340776,0.33604445501955255,0.3315945566896781,-0.25769702131742633,1.8453001202662098,0.23066251503327623,-0.7097955507826477,0.19440150814779505,-0.589843401741831,2.52839723737251,0.31604965467156376,-1.209300724898096,0.029613921414433975,-0.5102099693431228,2.712000554491263,0.33900006931140786,-1.1746501051934821,0.15423016650723664,1,keep_top1,keep_top1,False,False,keep_control,2,63,2025-2025040815gm-00a9-0000-3be4a59c-09-s2-d16,1.0714,ok,0,7.125,6.9453125,4.803593426167702,5.157607887155349,-0.1796875,0.0,4.565743877711796,0.28535899235698725,-0.738991125019695,0.379616125019695,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.25769702131742633,0.23066251503327623,-0.7097955507826477,0.19440150814779505,2,-0.25769702131742633,1,0,0,11,True,True,True
2025-2025041216gm-00a9-0000-3d010e8a-05-s0-d2,2025,2025041216gm-00a9-0000-3d010e8a,5,0,2,39,39,29,45,35,0.41528579592704773,0.3789048492908478,0.19426143169403076,0.011125694029033184,0.03638094663619995,0.22102436423301697,0.40416010189801455,0.09168183181211487,1.104684591293335,0.9995777709409595,True,True,lt005,256,-3.0929651329715853,-3.4894620425693574,-3.6025310696059023,-3.3559314920366887,2.6275868596162724,2.4184445866616895,2.479603208269855,2.27556358185576,0.23224806082391636,0.2137623208940472,0.2191680304024417,0.20113330496891965,-0.3964969095977722,2.2665509646124,0.2003366946227923,-0.7891568310584451,-0.003836988137099262,-0.509565936634317,2.3334109616104715,0.20624633928122338,-0.9138087616255148,-0.10532311164311925,-0.26296635906510346,2.966335910825075,0.26218952972769805,-0.7768578373313916,0.25092511920118465,1,keep_top1,keep_top1,False,False,keep_control,4,35,2025-2025041217gm-00a9-0000-a3087215-06-s0-d11,1.2127,ok,0,-3.4609375,-3.6640625,5.718085986843953,5.987932104019963,-0.203125,0.0,6.652564742041886,0.41578529637761785,-1.018064180900131,0.611814180900131,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.26296635906510346,0.26218952972769805,-0.7768578373313916,0.25092511920118465,4,-0.26296635906510346,0,3,0,14,True,True,True
2025-2025041314gm-00a9-0000-447ba93f-06-s3-d5,2025,2025041314gm-00a9-0000-447ba93f,6,3,5,60,60,67,37,27,0.46573346853256226,0.4121630787849426,0.06995676457881927,0.01906900480389595,0.05357038974761963,0.395776703953743,0.4466644637286663,0.12219442123164681,1.1413512229919434,0.9669223167002201,True,True,05_20,256,-2.5443808472919045,-2.828319549211301,-3.1831629646840156,-3.333933456604427,3.231447568724808,2.74506227979721,3.4919995014456684,3.0815779829310626,0.403930946090601,0.3431327849746513,0.43649993768070855,0.3851972478663828,-0.2839387019193964,2.6779348452334517,0.33474185565418146,-0.940032739001592,0.3721553351627992,-0.6387821173921111,4.333757373145683,0.5417196716432103,-1.7005526738128034,0.4229884390285812,-0.7895526093125227,4.343150785324626,0.5428938481655783,-1.8536245517170562,0.2745193330920108,1,keep_top1,keep_top1,False,False,keep_control,2,67,2025-2025122807gm-00a9-0000-c1328d8f-03-s2-d1,1.0177,ok,0,-2.2734375,-1.78125,6.791245626309119,6.960885113879373,0.4921875,0.0,6.806566718265243,0.4254104198915777,-0.34161692298749224,1.3259919229874924,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.2839387019193964,0.33474185565418146,-0.940032739001592,0.3721553351627992,2,-0.2839387019193964,1,1,0,14,True,True,True
2025-2025122620gm-00a9-0000-0e700f01-03-s2-d11,2025,2025122620gm-00a9-0000-0e700f01,3,2,11,37,49,37,43,30,0.489101380109787,0.4589676558971405,0.0245815496891737,0.020082535222172737,0.030133724212646484,0.4645198304206133,0.46901884488761425,0.06359004815205538,0.9216927289962769,0.9927331209182739,False,True,lt005,256,-3.7228124166103953,-4.341512039407462,-4.569048677065439,-4.173952634770103,2.938497519948763,2.5435928429782857,2.104288800608109,2.8416658608738077,0.2597289403569528,0.22482396848093936,0.18599461006061258,0.2511701500112722,-0.6186996227970667,2.581671698759671,0.22818969562379463,-1.065951426219704,-0.1714478193744292,-0.8462362604550435,2.9263138910703317,0.2586520495320279,-1.3531942775378183,-0.33927824337226886,-0.45114021815970773,2.839747495281087,0.25100058884634624,-0.9431013722985464,0.04082093597913089,1,keep_top1,keep_top1,False,True,keep_control,4,30,2025-2025041612gm-00a9-0000-17df09bd-03-s3-d0,0.8041,ok,0,-4.3046875,-4.9921875,6.965526984835432,6.9778316692165605,-0.6875,0.0,7.64070626034418,0.47754414127151124,-1.6234865168921622,0.24848651689216206,UNRESOLVED,high_variance,KEEP_UNRESOLVED,-0.45114021815970773,0.25100058884634624,-0.9431013722985464,0.04082093597913089,4,-0.45114021815970773,0,3,0,14,True,True,True
2024-2024092013gm-00a9-0000-9cd6d54a-02-s3-d1,2024,2024092013gm-00a9-0000-9cd6d54a,2,3,1,61,61,19,1,66,0.6753758788108826,0.2269178032875061,0.08579806238412857,0.01070889551192522,0.44845807552337646,0.589577816426754,0.6646669832989573,1.0906815415302233,0.8703711032867432,0.9988006399944425,True,True,20_50,256,-5.315768869331805,-5.228199664357817,-5.265051675931318,-4.966307496011723,1.2396461584421343,1.2849857621567111,1.293150655826022,0.9491085301675972,0.1549557698052668,0.1606232202695889,0.16164383197825274,0.11863856627094965,0.08756920497398823,1.1504155658486235,0.14380194573107793,-0.1942826086589245,0.36942101860690096,0.050717193400487304,1.0206068898201224,0.1275758612275153,-0.1993314946054427,0.3007658814064173,0.3494613733200822,1.379744723410626,0.17246809042632824,0.011423916084478847,0.6874988305556855,4,override_top4,override_top4,False,False,override,4,66,2024-2024092013gm-00a9-0000-9cd6d54a-02-s3-d1,0.8853,ok,0,-4.5,-4.09375,6.570283665944751,6.831802793682258,0.40625,0.0,6.218804500204578,0.3886752812627861,-0.3555535512750607,1.1680535512750607,UNRESOLVED,near_tie,,0.3494613733200822,0.17246809042632824,0.011423916084478847,0.6874988305556855,4,0.3494613733200822,0,2,0,14,True,True,True
2024-2024092905gm-00a9-0000-4f383722-00-s2-d10,2024,2024092905gm-00a9-0000-4f383722,0,2,10,25,25,3,67,21,0.9871130585670471,0.006349317729473114,0.002689430257305503,0.0011854402255266905,0.980763740837574,0.9844236283097416,0.9859276183415204,5.046437217605775,0.08860531449317932,0.9973372467793524,True,True,ge70,256,-0.5650335645768791,-0.5831818215083331,-0.16244853613898158,-0.35792477859649807,0.6631845660251334,0.6542129373678476,1.5291947706463296,1.0937150175524424,0.08289807075314168,0.08177661717098095,0.1911493463307912,0.1367143771940553,-0.018148256931453943,0.3860607231899531,0.04825759039874414,-0.11273313411299245,0.07643662025008456,0.40258502843789756,1.2841147073249402,0.16051433841561752,0.08797692514328725,0.7171931317325079,0.20710878598038107,1.154572508200261,0.14432156352503261,-0.07576147852868287,0.489979050489445,3,override_top3,uncertain,False,False,override,3,67,2024-2024092905gm-00a9-0000-4f383722-00-s2-d10,0.7657,ok,0,0.09375,-0.28125,7.630113200404067,7.538593513173578,-0.375,0.0,6.708496222599179,0.4192810139124487,-1.1967907872683994,0.4467907872683995,UNRESOLVED,near_tie,,0.40258502843789756,0.16051433841561752,0.08797692514328725,0.7171931317325079,3,0.40258502843789756,0,0,0,14,True,True,True
