decision_id,world_idx,branch,candidate_rank,action_id,final_scores,final_rank,final_utility,round_wind,kyoku_idx,honba,riichi_sticks,n_kyoku,done
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,0,A,1,50,"[26700,27000,11900,34400]",2,4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,0,B,2,17,"[29900,24800,10900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,1,A,1,50,"[29900,23800,-100,46400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,1,B,2,17,"[23900,16800,5900,53400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,2,A,1,50,"[28900,25800,10900,33400]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,2,B,2,17,"[28900,25800,10900,33400]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,3,A,1,50,"[29900,14800,20900,34400]",4,-10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,3,B,2,17,"[29900,14800,20900,34400]",4,-10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,4,A,1,50,"[29600,24900,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,4,B,2,17,"[29900,25100,10600,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,5,A,1,50,"[29600,24900,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,5,B,2,17,"[27900,21800,9900,40400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,6,A,1,50,"[29900,18000,11900,40200]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,6,B,2,17,"[27900,31700,9900,30500]",1,10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,7,A,1,50,"[28900,24800,11900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,7,B,2,17,"[27300,26400,11900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,8,A,1,50,"[32400,26500,11900,29200]",3,-4.0,2,0,0,0,2,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,8,B,2,17,"[29900,25100,10600,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,9,A,1,50,"[34100,19500,18300,28100]",3,-4.0,2,1,0,0,3,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,9,B,2,17,"[34100,19500,18300,28100]",3,-4.0,2,1,0,0,3,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,10,A,1,50,"[31400,25300,10400,32900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,10,B,2,17,"[29900,29000,6700,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,11,A,1,50,"[28400,24300,12400,32900]",3,-4.0,1,3,0,2,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,11,B,2,17,"[29200,26500,11200,33100]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,12,A,1,50,"[31400,22300,12400,32900]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,12,B,2,17,"[29600,24900,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,13,A,1,50,"[29600,25900,10600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,13,B,2,17,"[29900,26400,9300,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,14,A,1,50,"[29500,26300,10500,33700]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,14,B,2,17,"[25900,19800,7900,46400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,15,A,1,50,"[24700,29000,11900,34400]",2,4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,15,B,2,17,"[29900,25100,11900,33100]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,16,A,1,50,"[29200,26500,11200,33100]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,16,B,2,17,"[28900,28800,9900,32400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,17,A,1,50,"[30900,23800,10900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,17,B,2,17,"[32000,22500,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,18,A,1,50,"[29900,26800,10900,32400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,18,B,2,17,"[29400,25800,11400,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,19,A,1,50,"[29900,10800,11900,47400]",4,-10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,19,B,2,17,"[29400,25800,11400,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,20,A,1,50,"[21900,31800,11900,34400]",2,4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,20,B,2,17,"[27900,31700,9900,30500]",1,10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,21,A,1,50,"[28400,25300,10400,35900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,21,B,2,17,"[26000,19900,7000,47100]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,22,A,1,50,"[29600,24900,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,22,B,2,17,"[28400,24300,12400,32900]",3,-4.0,1,3,0,2,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,23,A,1,50,"[30900,24800,8900,35400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,23,B,2,17,"[29400,22300,11400,36900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,24,A,1,50,"[29900,27400,10900,31800]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,24,B,2,17,"[29900,26100,9600,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,25,A,1,50,"[28600,25100,11900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,25,B,2,17,"[28400,25300,13400,32900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,26,A,1,50,"[28900,26800,10900,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,26,B,2,17,"[29400,25800,11400,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,27,A,1,50,"[29600,24900,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,27,B,2,17,"[29400,25800,11400,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,28,A,1,50,"[29900,14800,20900,34400]",4,-10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,28,B,2,17,"[29400,25800,11400,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,29,A,1,50,"[28400,24300,13400,32900]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,29,B,2,17,"[29900,25100,10600,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,30,A,1,50,"[29600,24900,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,30,B,2,17,"[28600,25100,11900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,31,A,1,50,"[29500,25300,11500,33700]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,31,B,2,17,"[28900,25800,10900,33400]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,32,A,1,50,"[31400,25300,10400,32900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,32,B,2,17,"[30900,23800,11900,31400]",3,-4.0,1,3,0,2,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,33,A,1,50,"[29900,24800,10900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,33,B,2,17,"[29400,26800,10400,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,34,A,1,50,"[31400,24300,10400,32900]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,34,B,2,17,"[29900,29000,6700,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,35,A,1,50,"[29900,25100,10600,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,35,B,2,17,"[29900,26400,9300,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,36,A,1,50,"[31900,24800,8900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,36,B,2,17,"[28900,27800,10900,32400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,37,A,1,50,"[28400,24300,12400,32900]",3,-4.0,1,3,0,2,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,37,B,2,17,"[29400,26800,10400,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,38,A,1,50,"[29900,18900,16800,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,38,B,2,17,"[29900,18900,16800,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,39,A,1,50,"[28900,22800,14900,33400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,39,B,2,17,"[27900,31800,9900,30400]",1,10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,40,A,1,50,"[28600,25100,11900,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,40,B,2,17,"[28900,25800,10900,33400]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,41,A,1,50,"[22200,23800,11900,42100]",2,4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,41,B,2,17,"[25900,18800,7900,47400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,42,A,1,50,"[29600,24900,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,42,B,2,17,"[29900,17000,11900,41200]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,43,A,1,50,"[31400,22300,12400,32900]",3,-4.0,1,3,0,1,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,43,B,2,17,"[29900,26400,9300,34400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,44,A,1,50,"[25900,18800,7900,47400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,44,B,2,17,"[29900,31800,11900,26400]",1,10.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,45,A,1,50,"[31000,23500,11600,33900]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,45,B,2,17,"[30900,20800,12900,35400]",3,-4.0,1,3,0,0,1,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,46,A,1,50,"[29200,26500,11200,33100]",3,-4.0,1,3,0,0,1,True
