decision_id,year,game_id,kyoku_index,seat,decision_index,expert_action,top1_action,top2_action,top3_action,top4_action,pi1,pi2,pi3,pi4,gap12,gap13,gap14,log_gap12,policy_entropy,top4_cum_prob,expert_is_top1,expert_in_top4,gap_bucket,n_worlds,mean_a,mean_b,mean_c,mean_d,std_a,std_b,std_c,std_d,se_a,se_b,se_c,se_d,delta_ba_mean,delta_ba_std,delta_ba_se,delta_ba_ci95_lo,delta_ba_ci95_hi,delta_ca_mean,delta_ca_std,delta_ca_se,delta_ca_ci95_lo,delta_ca_ci95_hi,delta_da_mean,delta_da_std,delta_da_se,delta_da_ci95_lo,delta_da_ci95_hi,teacher_best,verdict95,verdict80,determined95,determined80,group,audit_b_rank,audit_b_action,matched_override_id,match_distance,status,n_worlds_failed,mean_r_a,mean_r_b,std_r_a,std_r_b,mean_delta_full,median_delta_full,std_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,unresolved_type,keep_resolution,predicted_delta_grp,predicted_delta_grp_se,predicted_delta_grp_ci_lo,predicted_delta_grp_ci_hi,strongest_challenger_rank,strongest_challenger_delta_grp,round_wind_meta,kyoku_meta,honba_meta,legal_action_count,top1_in_legal,b_in_legal,reconstruction_ok
2024-2024091917gm-00a9-0000-24c42be7-07-s0-d10,2024,2024091917gm-00a9-0000-24c42be7,7,0,10,22,15,22,65,41,0.5049077868461609,0.49484002590179443,0.00018877327966038138,2.6010729925474152e-05,0.010067760944366455,0.5047190135665005,0.5048817761162354,0.02014128195885645,0.6954870820045471,0.9999625967575412,False,True,lt005,256,-4.780024677891561,-5.071661252493868,-5.067830342429261,-6.009150064558526,3.2901903996237727,3.0895187180033874,3.446714160959253,2.358467977818232,0.2908144928711058,0.27307745451287047,0.30464936950324867,0.20846108754082443,-0.2916365746023075,3.434549233344769,0.303574131652143,-0.8866418726405078,0.3033687234358927,-0.28780566453770007,4.00411169275664,0.35391681632207067,-0.9814826245289586,0.4058712954535585,-1.229125386666965,3.3559186044087403,0.2966241002859394,-1.8105086232274061,-0.6477421501065237,1,keep_top1,keep_top1,False,False,keep_control,3,65,2024-2024092213gm-00a9-0000-5f7264d2-07-s0-d11,0.8878,ok,0,-5.65625,-5.5625,6.675019277346035,6.555644177976356,0.09375,0.0,8.21040707356983,0.5131504420981143,-0.9120248665123041,1.099524866512304,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.28780566453770007,0.35391681632207067,-0.9814826245289586,0.4058712954535585,3,-0.28780566453770007,1,0,0,11,True,True,True
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,2024,2024091920gm-00a9-0000-49049014,5,0,8,29,50,29,47,27,0.6955512166023254,0.185750812292099,0.05441058427095413,0.05356192588806152,0.5098004043102264,0.6411406323313713,0.6419892907142639,1.3202985919989243,0.936564028263092,0.9892745390534401,False,True,50_70,256,-2.349384499306325,-3.208279271131687,-3.1543149440494744,-2.9444545448350254,2.5761293802143985,2.937839642608168,2.5276797665433923,2.2979229564799497,0.3220161725267998,0.367229955326021,0.31595997081792404,0.2872403695599937,-0.8588947718253621,3.5342350393183017,0.4417793799147877,-1.724782356458346,0.006992812807621762,-0.8049304447431496,3.392993388931404,0.4241241736164255,-1.6362138250313436,0.026352935545044476,-0.5950700455287006,2.99985154047645,0.37498144255955623,-1.3300336729454307,0.13989358188802958,1,keep_top1,keep_top1,False,True,keep_control,4,27,2025-2025011023gm-00a9-0000-6d5806f0-05-s0-d13,1.2995,ok,0,-2.4921875,-3.234375,6.954751338219835,6.714905135621215,-0.7421875,0.0,8.713069825515788,0.5445668640947368,-1.809538553625684,0.32516355362568405,UNRESOLVED,high_variance,KEEP_UNRESOLVED,-0.5950700455287006,0.37498144255955623,-1.3300336729454307,0.13989358188802958,4,-0.5950700455287006,1,0,2,11,True,True,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,2024,2024092213gm-00a9-0000-5f7264d2,7,1,6,50,50,17,57,3,0.527621328830719,0.2069433629512787,0.13572555780410767,0.04241608455777168,0.3206779658794403,0.39189577102661133,0.4852052442729473,0.9359336992680375,1.3980262279510498,0.912706334143877,True,True,20_50,256,-2.434438595200845,-2.6591660082694943,-2.847762302191768,-2.7092913724153505,2.6311990819200153,2.623058324889945,2.6681410898313054,2.9313515511553905,0.3288998852400019,0.32788229061124313,0.3335176362289132,0.3664189438944238,-0.22472741306864918,3.5005421662441893,0.43756777078052367,-1.0823602437984756,0.6329054176611771,-0.4133237069909228,3.4218877222273174,0.4277359652784147,-1.2516861989366155,0.42503878495477,-0.2748527772145053,3.5544689707691823,0.4443086213461478,-1.145697675052955,0.5959921206239444,1,keep_top1,keep_top1,False,False,keep_control,2,17,2024-2024092000gm-00a9-0000-e0b6f7b7-05-s2-d5,1.474,ok,0,-3.0078125,-2.7890625,4.146335199695665,4.14095251664373,0.21875,0.0,5.207743103811297,0.32548394398820607,-0.4191985302168839,0.8566985302168839,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.22472741306864918,0.43756777078052367,-1.0823602437984756,0.6329054176611771,2,-0.22472741306864918,1,3,0,14,True,True,True
2024-2024092523gm-00a9-0000-e7bdeed7-02-s1-d16,2024,2024092523gm-00a9-0000-e7bdeed7,2,1,16,134,134,0,-1,-1,0.7848214507102966,0.21517854928970337,0.0,0.0,0.5696429014205933,0.7848214507102966,0.7848214507102966,1.2939880952893492,0.5207375288009644,1.0,True,True,50_70,256,0.1828683060593903,-0.3099161577410996,nan,nan,1.5167506002506388,1.8721069179051073,nan,nan,0.18959382503132985,0.2340133647381384,nan,nan,-0.4927844638004899,2.2954957767803785,0.2869369720975473,-1.0551809291116827,0.06961200151070279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,keep_top1,keep_top1,False,False,keep_control,2,0,2024-2024123104gm-00a9-0000-f69869df-01-s0-d12,0.9517,ok,0,1.375,0.515625,7.052742478680774,7.3040245419771095,-0.859375,0.0,9.81454253126651,0.6134089082041568,-2.0616564600801475,0.34290646008014747,UNRESOLVED,high_variance,KEEP_UNRESOLVED,-0.4927844638004899,0.2869369720975473,-1.0551809291116827,0.06961200151070279,2,-0.4927844638004899,0,2,0,2,True,True,True
2024-2024092905gm-00a9-0000-4f383722-09-s2-d9,2024,2024092905gm-00a9-0000-4f383722,9,2,9,67,19,65,67,41,0.3478798270225525,0.3223249018192291,0.24685846269130707,0.07432186603546143,0.025554925203323364,0.10102136433124542,0.27355796098709106,0.0762970467932822,1.3154386281967163,0.9913850575685501,False,True,lt005,256,-0.216560099125644,-0.22833229751375939,-0.26500450636385153,-0.3251882265118269,2.2337035181643543,2.1394109164559407,1.9902693597471943,2.0631198312731502,0.19743336310678292,0.18909899584631523,0.17591662008313116,0.18235575288671127,-0.011772198388115385,2.258961903819678,0.19966591007912096,-0.4031173821431925,0.3795729853669617,-0.04844440723820753,2.0222249808777786,0.1787411246329392,-0.3987770115187684,0.3018881970423533,-0.10862812738618288,2.3031992930873946,0.2035759798207699,-0.5076370478348918,0.29038079306252607,1,keep_top1,keep_top1,False,False,keep_control,2,65,2025-2025011223gm-00a9-0000-7704598d-09-s2-d11,0.3792,ok,0,-0.3671875,-0.4140625,4.779648184197858,5.109049785026796,-0.046875,0.0,5.4447087104065055,0.3402942944004066,-0.7138518170247969,0.6201018170247969,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.011772198388115385,0.19966591007912096,-0.4031173821431925,0.3795729853669617,2,-0.011772198388115385,1,2,0,11,True,True,True
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,2024,2024093020gm-00a9-0000-4385d1bc,7,1,3,63,44,63,67,3,0.38223761320114136,0.3628547489643097,0.25401532649993896,0.0008121503051370382,0.019382864236831665,0.1282222867012024,0.3814254628960043,0.052039825723483535,1.0902128219604492,0.999919838970527,False,True,lt005,256,-2.5289606071673916,-2.9152238185924944,-2.9019089145294856,-2.708722320603556,2.428816100206719,2.149351543914118,2.053873904236137,2.6000500203884886,0.2146790418389045,0.18997763148193103,0.18153852067343276,0.22981412510511517,-0.3862632114251028,2.778406114869656,0.2455787255893129,-0.8675975135801561,0.09507109072995051,-0.37294830736209406,2.651552271057971,0.2343663239419602,-0.832306302288336,0.08640968756414791,-0.17976171343616443,2.739532932481453,0.24214278923018795,-0.6543615803273328,0.29483815345500397,1,keep_top1,keep_top1,False,False,keep_control,4,3,2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,0.6376,ok,0,-2.5703125,-1.796875,6.684114728659462,6.861497435605695,0.7734375,0.0,8.385528939085196,0.5240955586928248,-0.2537897950379364,1.8006647950379364,UNRESOLVED,high_variance,KEEP_UNRESOLVED,-0.17976171343616443,0.24214278923018795,-0.6543615803273328,0.29483815345500397,4,-0.17976171343616443,0,3,2,14,True,True,True
2024-2024100216gm-00a9-0000-2cbf5f5f-01-s1-d6,2024,2024100216gm-00a9-0000-2cbf5f5f,1,1,6,161,161,0,-1,-1,0.9998656511306763,0.0001342774194199592,0.0,0.0,0.9997313737112563,0.9998656511306763,0.9998656511306763,8.915468246045357,0.0013315039686858654,0.9999999285500962,True,True,ge70,256,7.452843061543714,4.84870369618995,nan,nan,4.5355226332946,5.816445291228357,nan,nan,0.566940329161825,0.7270556614035446,nan,nan,-2.604139365353765,7.233897924309481,0.9042372405386851,-4.376444356809587,-0.8318343738979421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,keep_top1,keep_top1,False,False,keep_control,2,0,2024-2024092905gm-00a9-0000-4f383722-00-s2-d10,0.7657,ok,0,7.0234375,5.9453125,6.112622547791145,6.983238861731711,-1.078125,0.0,9.165672851653031,0.5728545532283145,-2.200919924327496,0.04466992432749639,UNRESOLVED,high_variance,KEEP_UNRESOLVED,-2.604139365353765,0.9042372405386851,-4.376444356809587,-0.8318343738979421,2,-2.604139365353765,0,1,0,2,True,True,True
2025-2025010923gm-00a9-0000-65e0833f-08-s3-d2,2025,2025010923gm-00a9-0000-65e0833f,8,3,2,55,55,61,65,50,0.5277602076530457,0.41007179021835327,0.03629401698708534,0.019449478015303612,0.11768841743469238,0.4914661906659603,0.508310729637742,0.2523097859116513,0.9342193603515625,0.9935754928737879,True,True,05_20,256,-2.1800987494934816,-2.5553987766797945,-2.5413102178099507,-2.3499574412344373,2.435060844102453,2.2837364772619018,2.562765610053847,2.3677301930806873,0.3043826055128066,0.2854670596577377,0.3203457012567309,0.2959662741350859,-0.37530002718631295,1.9609578154593272,0.2451197269324159,-0.8557346919738481,0.10513463760122221,-0.3612114683164691,1.4950313357864569,0.1868789169733071,-0.727494145584151,0.0050712089512128244,-0.1698586917409557,2.101447371926129,0.2626809214907661,-0.6847132978628573,0.3449959143809459,1,keep_top1,keep_top1,False,False,keep_control,4,50,2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,0.1743,ok,0,-1.640625,-1.375,4.955859079482211,5.165496388651963,0.265625,0.0,4.279425240865514,0.2674640775540946,-0.2586045920060255,0.7898545920060255,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.1698586917409557,0.2626809214907661,-0.6847132978628573,0.3449959143809459,4,-0.1698586917409557,1,1,0,14,True,True,True
2025-2025011102gm-00a9-0000-034cfa13-01-s2-d3,2025,2025011102gm-00a9-0000-034cfa13,1,2,3,63,67,63,16,21,0.48527464270591736,0.33678725361824036,0.11971960216760635,0.047360002994537354,0.148487389087677,0.365555040538311,0.43791463971138,0.36526356818505934,1.1788899898529053,0.9891415014863014,False,True,05_20,256,-0.34421102970372885,-0.5796378152444959,-0.6406601564958692,-0.5880424334318377,1.4533489992587465,1.5539491516063997,1.8080401491496554,1.7226503378910412,0.1816686249073433,0.19424364395079996,0.22600501864370692,0.21533129223638015,-0.23542678554076701,1.6580977149103087,0.20726221436378858,-0.6416607256937926,0.1708071546122586,-0.2964491267921403,2.032732891244343,0.25409161140554287,-0.7944686851470043,0.2015704315627237,-0.24383140372810885,1.8979837512218674,0.23724796890273342,-0.7088374227774663,0.22117461532124866,1,keep_top1,keep_top1,False,False,keep_control,2,63,2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,1.2277,ok,0,-0.2890625,-0.140625,7.428247457786907,7.410363040510017,0.1484375,0.0,6.160710226118096,0.385044389132381,-0.6062495026994668,0.9031245026994668,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.23542678554076701,0.20726221436378858,-0.6416607256937926,0.1708071546122586,2,-0.23542678554076701,0,0,1,14,True,True,True
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,2025,2025011200gm-00a9-0000-18c17918,1,0,4,60,60,67,11,1,0.7347393035888672,0.26006725430488586,0.004540934693068266,0.0005026111612096429,0.4746720492839813,0.7301983688957989,0.7342366924276575,1.0385754793315645,0.606563150882721,0.999850103748031,True,True,20_50,256,5.243265253557183,5.031315149186412,4.457168516310048,4.991967570353154,1.4017506708495135,1.329735450800395,1.6520380236086576,1.7819797367677304,0.1752188338561892,0.16621693135004936,0.2065047529510822,0.2227474670959663,-0.21195010437077144,1.4401759282213524,0.18002199102766905,-0.5647932067850028,0.1408929980434599,-0.786096737247135,1.651383411484968,0.206422926435621,-1.190685673060952,-0.3815078014333179,-0.25129768320402945,1.817797431043776,0.227224678880472,-0.6966580538097545,0.19406268740169563,1,keep_top1,keep_top1,False,False,keep_control,2,67,2025-2025041522gm-00a9-0000-b0bc1a7b-01-s1-d2,1.1297,ok,0,5.296875,5.3125,5.999162523252071,6.0400623292459885,0.015625,0.0,4.895751459473936,0.305984466217121,-0.5841045537855571,0.6153545537855571,UNRESOLVED,near_tie,KEEP_UNRESOLVED,-0.21195010437077144,0.18002199102766905,-0.5647932067850028,0.1408929980434599,2,-0.21195010437077144,0,0,1,14,True,True,True
