decision_id,year,game_id,kyoku_index,seat,decision_index,expert_action,top1_action,top2_action,top3_action,top4_action,pi1,pi2,pi3,pi4,gap12,gap13,gap14,log_gap12,policy_entropy,top4_cum_prob,expert_is_top1,expert_in_top4,gap_bucket,n_worlds,mean_a,mean_b,mean_c,mean_d,std_a,std_b,std_c,std_d,se_a,se_b,se_c,se_d,delta_ba_mean,delta_ba_std,delta_ba_se,delta_ba_ci95_lo,delta_ba_ci95_hi,delta_ca_mean,delta_ca_std,delta_ca_se,delta_ca_ci95_lo,delta_ca_ci95_hi,delta_da_mean,delta_da_std,delta_da_se,delta_da_ci95_lo,delta_da_ci95_hi,teacher_best,verdict95,verdict80,determined95,determined80,group,audit_b_rank,audit_b_action,matched_override_id,match_distance,status,n_worlds_failed,mean_r_a,mean_r_b,std_r_a,std_r_b,mean_delta_full,median_delta_full,std_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,unresolved_type,keep_resolution,predicted_delta_grp,predicted_delta_grp_se,predicted_delta_grp_ci_lo,predicted_delta_grp_ci_hi,strongest_challenger_rank,strongest_challenger_delta_grp,round_wind_meta,kyoku_meta,honba_meta,legal_action_count,top1_in_legal,b_in_legal,reconstruction_ok
2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,2024,2024091915gm-00a9-0000-7030187d,8,1,0,65,58,65,63,1,0.2869248390197754,0.2765195667743683,0.25314128398895264,0.08380559831857681,0.010405272245407104,0.033783555030822754,0.20311924070119858,0.03693871214373545,1.666811227798462,0.9003912881016731,False,True,lt005,256,9.68083637616823,9.741593894654503,9.712777662406422,9.819924953051366,0.8551977510984091,0.7734595897864364,0.8042755837899803,0.3346540566246257,0.07558951613214629,0.0683648151139693,0.07108858990508304,0.029579519098857462,0.060757518486270576,0.8561334795658195,0.07567222362522819,-0.08756003981917666,0.20907507679171783,0.03194128623819127,0.8033573172629743,0.07100742584406022,-0.10723326841616677,0.17111584089254933,0.13908857688313447,0.7551516986968522,0.06674661087163558,0.008265219574728727,0.26991193419154025,4,override_top4,override_top4,False,False,override,4,1,2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,0.6376,ok,0,9.78125,9.7578125,1.3072197708923181,1.3561542728483016,-0.0234375,0.0,1.757738492450779,0.10985865577817369,-0.23876046532522044,0.19188546532522044,UNRESOLVED,near_tie,,0.13908857688313447,0.06674661087163558,0.008265219574728727,0.26991193419154025,4,0.13908857688313447,1,2,0,14,True,True,True
2024-2024092000gm-00a9-0000-e0b6f7b7-05-s2-d5,2024,2024092000gm-00a9-0000-e0b6f7b7,5,2,5,35,16,35,11,33,0.5803561806678772,0.2604357600212097,0.11799588799476624,0.022830380126833916,0.3199204206466675,0.46236029267311096,0.5575258005410433,0.8012857914789075,1.0874016284942627,0.9816182088106871,False,True,20_50,256,4.3198081377031485,4.883498697390678,4.6819391529825225,4.671916013312966,2.5596090323074967,2.0891999592192514,2.1647182312514452,2.019537027846136,0.3199511290384371,0.2611499949024064,0.27058977890643066,0.252442128480767,0.5636905596875295,2.08790197086835,0.26098774635854377,0.05215457682478364,1.0752265425502752,0.36213101527937397,2.598495658743527,0.3248119573429409,-0.27450042111279016,0.9987624516715381,0.3521078756098177,2.604921915611736,0.325615239451467,-0.2860979937150575,0.9903137449346929,2,override_top2,override_top2,False,False,override,2,35,2024-2024092000gm-00a9-0000-e0b6f7b7-05-s2-d5,1.474,ok,0,4.7890625,4.3125,5.619507121991896,6.076312091017954,-0.4765625,0.0,6.177079510133393,0.3860674693833371,-1.2332547399913407,0.2801297399913406,UNRESOLVED,near_tie,,0.5636905596875295,0.26098774635854377,0.05215457682478364,1.0752265425502752,2,0.5636905596875295,0,3,2,14,True,True,True
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,2024,2024092000gm-00a9-0000-e0b6f7b7,7,2,15,19,19,2,47,23,0.454108864068985,0.18092305958271027,0.177891805768013,0.12211097776889801,0.2731858044862747,0.276217058300972,0.331997886300087,0.920265102281725,1.5065703392028809,0.9350347071886063,True,True,20_50,256,3.836175948705204,4.36715199712368,3.257995892325804,3.257995892325804,1.5870943161782822,1.9913223656329464,0.7174460686801196,0.7174460686801196,0.22907733266871408,0.287422625960376,0.10355442022037646,0.10355442022037646,0.5309760484184759,1.8442721436830707,0.26619775465358725,0.00922844929744493,1.0527236475395068,-0.5781800563793998,1.5825956389155205,0.2284280045365509,-1.0258989452710396,-0.1304611674877601,-0.5781800563793998,1.5825956389155205,0.2284280045365509,-1.0258989452710396,-0.1304611674877601,2,override_top2,override_top2,True,True,override,2,2,2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,1.5622,ok,0,2.3984375,3.1953125,5.746050433840212,5.982403731926215,0.796875,0.0,6.263945226765761,0.3914965766728601,0.029541709721194298,1.5642082902788057,SUPPORTED,,,0.5309760484184759,0.26619775465358725,0.00922844929744493,1.0527236475395068,2,0.5309760484184759,1,1,0,14,True,True,True
2024-2024092013gm-00a9-0000-9cd6d54a-02-s3-d1,2024,2024092013gm-00a9-0000-9cd6d54a,2,3,1,61,61,19,1,66,0.6753758788108826,0.2269178032875061,0.08579806238412857,0.01070889551192522,0.44845807552337646,0.589577816426754,0.6646669832989573,1.0906815415302233,0.8703711032867432,0.9988006399944425,True,True,20_50,256,-5.315768869331805,-5.228199664357817,-5.265051675931318,-4.966307496011723,1.2396461584421343,1.2849857621567111,1.293150655826022,0.9491085301675972,0.1549557698052668,0.1606232202695889,0.16164383197825274,0.11863856627094965,0.08756920497398823,1.1504155658486235,0.14380194573107793,-0.1942826086589245,0.36942101860690096,0.050717193400487304,1.0206068898201224,0.1275758612275153,-0.1993314946054427,0.3007658814064173,0.3494613733200822,1.379744723410626,0.17246809042632824,0.011423916084478847,0.6874988305556855,4,override_top4,override_top4,False,False,override,4,66,2024-2024092013gm-00a9-0000-9cd6d54a-02-s3-d1,0.8853,ok,0,-4.5,-4.09375,6.570283665944751,6.831802793682258,0.40625,0.0,6.218804500204578,0.3886752812627861,-0.3555535512750607,1.1680535512750607,UNRESOLVED,near_tie,,0.3494613733200822,0.17246809042632824,0.011423916084478847,0.6874988305556855,4,0.3494613733200822,0,2,0,14,True,True,True
2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,2024,2024092013gm-00a9-0000-9cd6d54a,8,3,12,29,29,17,20,37,0.5497334599494934,0.4211747944355011,0.009774155914783478,0.009033110924065113,0.1285586655139923,0.5399593040347099,0.5407003490254283,0.2663856062891703,0.8367844223976135,0.9897155212238431,True,True,05_20,256,-6.27455836829904,-6.261449040430307,-6.120618392575125,-6.1828777047667245,0.48495105063455,0.5123168740586417,0.7422410477875615,0.5998547422482783,0.06061888132931875,0.06403960925733021,0.09278013097344519,0.07498184278103479,0.01310932786873309,0.2319810937277106,0.028997636715963827,-0.04372604009455601,0.06994469583202219,0.15393997572391527,0.5421165433973628,0.06776456792467035,0.021121422591561384,0.2867585288562692,0.09168066353231552,0.5747371847097198,0.07184214808871497,-0.049129946721565815,0.23249127378619686,3,override_top3,override_top3,False,False,override,3,20,2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,0.1743,ok,0,-5.2890625,-5.71875,3.741976711028858,3.5885165431403765,-0.4296875,0.0,3.2831921189897004,0.20519950743685628,-0.8318785345762383,-0.027496465423761718,REJECTED,,,0.15393997572391527,0.06776456792467035,0.021121422591561384,0.2867585288562692,3,0.15393997572391527,1,2,0,14,True,True,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s0-d11,2024,2024092213gm-00a9-0000-5f7264d2,7,0,11,37,65,63,37,67,0.3503905236721039,0.34319007396698,0.3063540458679199,3.701824971358292e-05,0.007200449705123901,0.04403647780418396,0.3503535054223903,0.020763869193836326,1.0976033210754395,0.9999716617567174,False,True,lt005,256,4.383843988072869,4.4286446430122055,4.930638372152444,4.276892011733764,1.7308501667516143,1.6029245331279147,3.1939778854655407,2.0343379339950616,0.1529869862659916,0.14167985088812865,0.2823104277215692,0.17981176854411737,0.04480065493933694,1.683180748718607,0.14877356517269716,-0.2467955327991495,0.3363968426778234,0.5467943840795755,2.975198900605118,0.26297291474957996,0.03136747117039873,1.0622212969887523,-0.10695197633910425,2.3431336304489743,0.20710570991459043,-0.5128791677717015,0.298975215093493,3,override_top3,override_top3,False,False,override,3,37,2024-2024092213gm-00a9-0000-5f7264d2-07-s0-d11,0.8878,ok,0,3.8984375,4.421875,1.9416582512651093,3.5921687697807623,0.5234375,0.0,3.478707994891996,0.21741924968074974,0.09729577062573053,0.9495792293742695,SUPPORTED,,,0.5467943840795755,0.26297291474957996,0.03136747117039873,1.0622212969887523,3,0.5467943840795755,1,3,0,7,True,True,True
2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,2024,2024092611gm-00a9-0000-4789b0e8,0,3,21,3,29,3,39,37,0.3713192939758301,0.3056563138961792,0.10404032468795776,0.07468314468860626,0.06566298007965088,0.2672789692878723,0.2966361492872238,0.19460100960320692,1.5990321636199951,0.8556990772485733,False,True,05_20,256,-0.5070104394108057,-0.00824075099080801,-0.7013474255800247,-0.7069185394793749,0.8101611591728711,1.3206309326180186,0.5805312129289153,0.583337267685435,0.14321761237627276,0.23345677197472883,0.10262438933812187,0.10312043442480084,0.4987696884199977,1.1467797686358225,0.20272393773248254,0.10143077046433191,0.8961086063756635,-0.19433698616921902,0.520884562413596,0.0920802515745103,-0.37481427925525923,-0.013859693083178831,-0.19990810006856918,0.5390633169305562,0.09529383172262733,-0.3866840102449187,-0.01313218989221962,2,override_top2,override_top2,True,True,override,2,3,2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,1.2277,ok,0,-0.0703125,0.59375,7.864223875047222,7.650643955980207,0.6640625,0.0,7.682705144240102,0.4801690715150064,-0.27706888016941245,1.6051938801694123,UNRESOLVED,high_variance,,0.4987696884199977,0.20272393773248254,0.10143077046433191,0.8961086063756635,2,0.4987696884199977,0,0,0,14,True,True,True
2024-2024092905gm-00a9-0000-4f383722-00-s2-d10,2024,2024092905gm-00a9-0000-4f383722,0,2,10,25,25,3,67,21,0.9871130585670471,0.006349317729473114,0.002689430257305503,0.0011854402255266905,0.980763740837574,0.9844236283097416,0.9859276183415204,5.046437217605775,0.08860531449317932,0.9973372467793524,True,True,ge70,256,-0.5650335645768791,-0.5831818215083331,-0.16244853613898158,-0.35792477859649807,0.6631845660251334,0.6542129373678476,1.5291947706463296,1.0937150175524424,0.08289807075314168,0.08177661717098095,0.1911493463307912,0.1367143771940553,-0.018148256931453943,0.3860607231899531,0.04825759039874414,-0.11273313411299245,0.07643662025008456,0.40258502843789756,1.2841147073249402,0.16051433841561752,0.08797692514328725,0.7171931317325079,0.20710878598038107,1.154572508200261,0.14432156352503261,-0.07576147852868287,0.489979050489445,3,override_top3,uncertain,False,False,override,3,67,2024-2024092905gm-00a9-0000-4f383722-00-s2-d10,0.7657,ok,0,0.09375,-0.28125,7.630113200404067,7.538593513173578,-0.375,0.0,6.708496222599179,0.4192810139124487,-1.1967907872683994,0.4467907872683995,UNRESOLVED,near_tie,,0.40258502843789756,0.16051433841561752,0.08797692514328725,0.7171931317325079,3,0.40258502843789756,0,0,0,14,True,True,True
2024-2024092922gm-00a9-0000-d78d568e-10-s0-d14,2024,2024092922gm-00a9-0000-d78d568e,10,0,14,75,51,75,53,38,0.5656940937042236,0.4236494302749634,0.008101759478449821,0.0006157730240374804,0.14204466342926025,0.5575923342257738,0.5650783206801862,0.28914716376677574,0.7449151277542114,0.9980610564816743,False,True,05_20,128,7.827444578647828,8.289487293058059,6.969777073762657,6.321386360586871,1.2197536059318426,2.2185940566568436,2.626388424597884,2.13673151610596,0.15246920074148032,0.27732425708210545,0.3282985530747355,0.267091439513245,0.4620427144102308,1.8820835301353969,0.2352604412669246,0.0009322495270586151,0.923153179293403,-0.8576675048851712,2.620124582788553,0.32751557284856914,-1.4995980276683667,-0.21573698210197567,-1.5060582180609572,2.0265242730336435,0.25331553412920543,-2.0025566649542,-1.0095597711677144,2,override_top2,override_top2,True,True,override,2,75,2024-2024092922gm-00a9-0000-d78d568e-10-s0-d14,1.2711,ok,0,6.78125,8.3125,4.76360463660223,3.7348117620086017,1.53125,0.0,5.8725807550351705,0.519067709368873,0.513877289637009,2.548622710362991,SUPPORTED,,,0.4620427144102308,0.2352604412669246,0.0009322495270586151,0.923153179293403,2,0.4620427144102308,1,1,0,15,True,True,True
2024-2024100200gm-00a9-0000-0aacab28-12-s0-d21,2024,2024100200gm-00a9-0000-0aacab28,12,0,21,31,11,31,63,23,0.5215558409690857,0.434545636177063,0.025312017649412155,0.010700552724301815,0.0870102047920227,0.49624382331967354,0.5108552882447839,0.18251537564201215,0.8935874104499817,0.9921140475198627,False,True,05_20,128,-2.3427953726932174,-2.403426046788809,3.7102079687956575,-2.231746843579458,0.38567597924898755,0.45799638458797387,0.807805463461921,1.1164209375310945,0.048209497406123444,0.057249548073496734,0.10097568293274012,0.1395526171913868,-0.06063067409559153,0.28102762827814665,0.03512845353476833,-0.12948244302373746,0.008221094832554399,6.053003341488875,0.9345166975960193,0.11681458719950241,5.82404675057785,6.2819599323999,0.11104852911375929,1.2630619344521021,0.15788274180651277,-0.19840164482700573,0.4204987030545243,3,override_top3,override_top3,False,False,override,3,63,2024-2024100200gm-00a9-0000-0aacab28-12-s0-d21,2.1968,ok,0,-2.65625,3.0,4.573868777146015,4.0391782122012465,5.65625,8.0,5.436009276150447,0.48047987771986955,4.7145094396690554,6.5979905603309446,SUPPORTED,,,6.053003341488875,0.11681458719950241,5.82404675057785,6.2819599323999,3,6.053003341488875,1,3,0,14,True,True,True
