decision_id,world_idx,r_a,r_b,delta_full
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,0,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,1,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,2,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,3,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,4,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,5,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,6,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,7,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,8,10.0,-4.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,9,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,10,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,11,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,12,-4.0,4.0,8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,13,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,14,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,15,-4.0,4.0,8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,16,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,17,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,18,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,19,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,20,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,21,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,22,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,23,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,24,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,25,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,26,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,27,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,28,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,29,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,30,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,31,10.0,10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,32,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,33,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,34,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,35,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,36,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,37,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,38,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,39,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,40,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,41,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,42,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,43,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,44,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,45,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,46,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,47,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,48,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,49,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,50,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,51,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,52,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,53,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,54,-4.0,-4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,55,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,56,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,57,10.0,10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,58,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,59,4.0,-4.0,-8.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,60,-10.0,10.0,20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,61,10.0,-4.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,62,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,63,-4.0,10.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,64,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,65,10.0,10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,66,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,67,4.0,10.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,68,10.0,-4.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,69,4.0,10.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,70,10.0,10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,71,10.0,4.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,72,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,73,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,74,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,75,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,76,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,77,-10.0,4.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,78,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,79,10.0,-10.0,-20.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,80,10.0,-4.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,81,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,82,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,83,-4.0,10.0,14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,84,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,85,-4.0,-10.0,-6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,86,-10.0,-4.0,6.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,87,4.0,4.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,88,-10.0,-10.0,0.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,89,4.0,-10.0,-14.0
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,90,4.0,10.0,6.0
