decision_id,n_worlds,mean_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,unresolved_type
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,64,-0.0625,0.6681067036486892,-1.3719891391514307,1.2469891391514307,UNRESOLVED,near_tie
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,128,0.0,0.460015405425021,-0.9016301946330412,0.9016301946330412,UNRESOLVED,near_tie
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,192,0.0625,0.36833259793977113,-0.6594318919619514,0.7844318919619514,UNRESOLVED,near_tie
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,256,0.21875,0.32548394398820607,-0.4191985302168839,0.8566985302168839,UNRESOLVED,near_tie
2024-2024100216gm-00a9-0000-2cbf5f5f-01-s1-d6,64,-0.84375,1.15625,-3.11,1.4224999999999999,UNRESOLVED,high_variance
2024-2024100216gm-00a9-0000-2cbf5f5f-01-s1-d6,128,-1.546875,0.8453831435070062,-3.203825961273732,0.11007596127373209,UNRESOLVED,high_variance
2024-2024100216gm-00a9-0000-2cbf5f5f-01-s1-d6,192,-1.28125,0.674921875528709,-2.6040968760362695,0.04159687603626949,UNRESOLVED,high_variance
2024-2024100216gm-00a9-0000-2cbf5f5f-01-s1-d6,256,-1.078125,0.5728545532283145,-2.200919924327496,0.04466992432749639,UNRESOLVED,high_variance
2025-2025011200gm-00a9-0000-18c17918-10-s0-d3,64,-0.4375,0.629103591918755,-1.6705430401607597,0.7955430401607597,UNRESOLVED,near_tie
2025-2025011200gm-00a9-0000-18c17918-10-s0-d3,128,0.03125,0.5058634423859067,-0.9602423470763772,1.0227423470763772,UNRESOLVED,near_tie
2025-2025011200gm-00a9-0000-18c17918-10-s0-d3,192,0.010416666666666666,0.3959043692574629,-0.7655558970779607,0.7863892304112939,UNRESOLVED,near_tie
2025-2025011200gm-00a9-0000-18c17918-10-s0-d3,256,0.09375,0.35159279553561534,-0.5953718792498061,0.7828718792498061,UNRESOLVED,near_tie
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,64,1.40625,1.1924694993770049,-0.9309902187789296,3.7434902187789296,UNRESOLVED,high_variance
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,128,0.59375,0.8139892091291752,-1.0016688498931834,2.1891688498931834,UNRESOLVED,high_variance
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,192,-0.3958333333333333,0.669915662318,-1.7088680314766134,0.9172013648099469,UNRESOLVED,near_tie
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,256,-0.3359375,0.5876474232925117,-1.487726449653323,0.8158514496533229,UNRESOLVED,near_tie
2025-2025041017gm-00a9-0000-5584369a-05-s1-d9,64,0.34375,0.593541107781916,-0.8195905712525555,1.5070905712525555,UNRESOLVED,near_tie
2025-2025041017gm-00a9-0000-5584369a-05-s1-d9,128,-0.046875,0.4400389454343964,-0.909351333051417,0.815601333051417,UNRESOLVED,near_tie
2025-2025041017gm-00a9-0000-5584369a-05-s1-d9,192,-0.22916666666666666,0.37182031332930815,-0.9579344807921106,0.4996011474587774,UNRESOLVED,near_tie
2025-2025041017gm-00a9-0000-5584369a-05-s1-d9,256,-0.1875,0.34794124898479345,-0.8694648480101952,0.4944648480101952,UNRESOLVED,near_tie
2025-2025041216gm-00a9-0000-3d010e8a-10-s0-d10,64,0.0,0.4629100498862757,-0.9073036977771004,0.9073036977771004,UNRESOLVED,near_tie
2025-2025041216gm-00a9-0000-3d010e8a-10-s0-d10,128,0.234375,0.3287571245223631,-0.4099889640638317,0.8787389640638317,UNRESOLVED,near_tie
2025-2025041216gm-00a9-0000-3d010e8a-10-s0-d10,192,0.4479166666666667,0.25781201797599795,-0.057394888566289326,0.9532282218996226,UNRESOLVED,near_tie
2025-2025041216gm-00a9-0000-3d010e8a-10-s0-d10,256,0.4765625,0.22612258677404887,0.03336222992286425,0.9197627700771358,SUPPORTED,
2025-2025041520gm-00a9-0000-d292f784-08-s1-d0,64,-0.34375,0.5952101927984021,-1.5103619778848683,0.8228619778848683,UNRESOLVED,near_tie
