decision_id,group,audit_b_rank,predicted_delta_grp,predicted_delta_grp_se,mean_delta_full,se_delta_full,ci95_lo,ci95_hi,resolution,keep_resolution
2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,override,4,0.13908857688313447,0.06674661087163558,-0.0234375,0.10985865577817369,-0.23876046532522044,0.19188546532522044,UNRESOLVED,
2024-2024092000gm-00a9-0000-e0b6f7b7-05-s2-d5,override,2,0.5636905596875295,0.26098774635854377,-0.4765625,0.3860674693833371,-1.2332547399913407,0.2801297399913406,UNRESOLVED,
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,override,2,0.5309760484184759,0.26619775465358725,0.796875,0.3914965766728601,0.029541709721194298,1.5642082902788057,SUPPORTED,
2024-2024092013gm-00a9-0000-9cd6d54a-02-s3-d1,override,4,0.3494613733200822,0.17246809042632824,0.40625,0.3886752812627861,-0.3555535512750607,1.1680535512750607,UNRESOLVED,
2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,override,3,0.15393997572391527,0.06776456792467035,-0.4296875,0.20519950743685628,-0.8318785345762383,-0.027496465423761718,REJECTED,
2024-2024092213gm-00a9-0000-5f7264d2-07-s0-d11,override,3,0.5467943840795755,0.26297291474957996,0.5234375,0.21741924968074974,0.09729577062573053,0.9495792293742695,SUPPORTED,
2024-2024092611gm-00a9-0000-4789b0e8-00-s3-d21,override,2,0.4987696884199977,0.20272393773248254,0.6640625,0.4801690715150064,-0.27706888016941245,1.6051938801694123,UNRESOLVED,
2024-2024092905gm-00a9-0000-4f383722-00-s2-d10,override,3,0.40258502843789756,0.16051433841561752,-0.375,0.4192810139124487,-1.1967907872683994,0.4467907872683995,UNRESOLVED,
2024-2024092922gm-00a9-0000-d78d568e-10-s0-d14,override,2,0.4620427144102308,0.2352604412669246,1.53125,0.519067709368873,0.513877289637009,2.548622710362991,SUPPORTED,
2024-2024100200gm-00a9-0000-0aacab28-12-s0-d21,override,3,6.053003341488875,0.11681458719950241,5.65625,0.48047987771986955,4.7145094396690554,6.5979905603309446,SUPPORTED,
2024-2024122023gm-00a9-0000-df6602c9-02-s2-d15,override,4,0.7590344696654938,0.21437919468140307,0.328125,0.5187129017563853,-0.6885522874425152,1.3448022874425152,UNRESOLVED,
2024-2024122803gm-00a9-0000-f48082aa-02-s3-d11,override,4,0.328770664986223,0.15809388391447582,0.65625,0.4907500699209843,-0.30562013704512925,1.6181201370451292,UNRESOLVED,
2024-2024123104gm-00a9-0000-f69869df-01-s0-d12,override,2,0.7277686721645296,0.3083435126741813,0.890625,0.5533562023718821,-0.1939531566488888,1.9752031566488888,UNRESOLVED,
2025-2025011014gm-00a9-0000-9ea4d5cd-06-s0-d14,override,2,0.2631501512369141,0.11106567191847869,-0.2578125,0.4463046867237046,-1.1325696859784609,0.616944685978461,UNRESOLVED,
2025-2025011023gm-00a9-0000-6d5806f0-05-s0-d13,override,4,0.39631554880179465,0.18857573171497394,0.296875,0.37787779555049017,-0.4437654792789607,1.0375154792789607,UNRESOLVED,
2025-2025011102gm-00a9-0000-034cfa13-10-s1-d4,override,2,0.35930736977820743,0.13731728058427226,0.0703125,0.18369231683468185,-0.2897244409959764,0.4303494409959764,UNRESOLVED,
2025-2025011223gm-00a9-0000-7704598d-09-s2-d11,override,3,0.02353004715078312,0.011155723982304204,0.0625,0.09514887715327708,-0.12399179922042308,0.24899179922042308,UNRESOLVED,
2025-2025040815gm-00a9-0000-3be4a59c-09-s2-d16,override,2,0.29867264457243436,0.1450042370112598,-0.19791666666666666,0.08807607154613231,-0.37054576689708596,-0.025287566436247327,REJECTED,
2025-2025040921gm-00a9-0000-9f24706f-08-s0-d8,override,2,0.4705115056651721,0.2386973917317942,0.015625,0.11715175108321149,-0.21399243212309452,0.24524243212309452,UNRESOLVED,
2025-2025041216gm-00a9-0000-3d010e8a-05-s1-d12,override,3,0.14474253195203346,0.07198112772603324,0.203125,0.21712235851283596,-0.22243482268515846,0.6286848226851585,UNRESOLVED,
2025-2025041217gm-00a9-0000-a3087215-06-s0-d11,override,3,0.47438171036083077,0.14765358880148793,0.890625,0.33277229516430834,0.23839130147795562,1.5428586985220445,SUPPORTED,
2025-2025041222gm-00a9-0000-8add91ad-00-s3-d8,override,3,0.4485354583594017,0.18396829374972892,0.6015625,0.5634844241930834,-0.5028669714184435,1.7059919714184435,UNRESOLVED,
2025-2025041317gm-00a9-0000-009de259-01-s0-d22,override,3,1.9503083559684455,0.2635652235812176,2.515625,0.8202788121129168,0.9078785282586832,4.123371471741317,SUPPORTED,
2025-2025041522gm-00a9-0000-b0bc1a7b-01-s1-d2,override,2,0.8582862255279906,0.3286122560546535,0.40625,0.6255114329059689,-0.8197524084956991,1.632252408495699,UNRESOLVED,
2025-2025041612gm-00a9-0000-17df09bd-03-s3-d0,override,4,0.5348014950334345,0.20976145355406312,-0.5703125,0.40721010933723895,-1.3684443143009883,0.22781931430098834,UNRESOLVED,
2025-2025041619gm-00a9-0000-31ca159b-01-s2-d19,override,4,0.5011161973699927,0.2252205625876893,0.6328125,0.4238140238629636,-0.19786298677140857,1.4634879867714086,UNRESOLVED,
2025-2025122620gm-00a9-0000-0e700f01-04-s3-d11,override,4,0.6953219114730018,0.1817638189606076,-0.84375,0.5271104581100812,-1.8768864978957591,0.18938649789575912,UNRESOLVED,
2025-2025122807gm-00a9-0000-c1328d8f-03-s2-d1,override,4,0.46927880158182234,0.18877908018761969,-0.2890625,0.4988744895835328,-1.2668564995837244,0.6887314995837243,UNRESOLVED,
2025-2025123119gm-00a9-0000-4c392a7b-04-s3-d10,override,4,0.20345380809158087,0.0840347756597076,-0.3984375,0.420145271601844,-1.2219222323396144,0.4250472323396143,UNRESOLVED,
2025-2025123121gm-00a9-0000-60ebef25-12-s1-d11,override,2,0.3898309444221034,0.1296772826473483,-0.1484375,0.10834931360738367,-0.360802154670472,0.063927154670472,UNRESOLVED,
2024-2024091917gm-00a9-0000-24c42be7-07-s0-d10,keep_control,3,-0.28780566453770007,0.35391681632207067,0.09375,0.5131504420981143,-0.9120248665123041,1.099524866512304,UNRESOLVED,KEEP_UNRESOLVED
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,keep_control,4,-0.5950700455287006,0.37498144255955623,-0.7421875,0.5445668640947368,-1.809538553625684,0.32516355362568405,UNRESOLVED,KEEP_UNRESOLVED
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,keep_control,2,-0.22472741306864918,0.43756777078052367,0.21875,0.32548394398820607,-0.4191985302168839,0.8566985302168839,UNRESOLVED,KEEP_UNRESOLVED
2024-2024092523gm-00a9-0000-e7bdeed7-02-s1-d16,keep_control,2,-0.4927844638004899,0.2869369720975473,-0.859375,0.6134089082041568,-2.0616564600801475,0.34290646008014747,UNRESOLVED,KEEP_UNRESOLVED
2024-2024092905gm-00a9-0000-4f383722-09-s2-d9,keep_control,2,-0.011772198388115385,0.19966591007912096,-0.046875,0.3402942944004066,-0.7138518170247969,0.6201018170247969,UNRESOLVED,KEEP_UNRESOLVED
2024-2024093020gm-00a9-0000-4385d1bc-07-s1-d3,keep_control,4,-0.17976171343616443,0.24214278923018795,0.7734375,0.5240955586928248,-0.2537897950379364,1.8006647950379364,UNRESOLVED,KEEP_UNRESOLVED
2024-2024100216gm-00a9-0000-2cbf5f5f-01-s1-d6,keep_control,2,-2.604139365353765,0.9042372405386851,-1.078125,0.5728545532283145,-2.200919924327496,0.04466992432749639,UNRESOLVED,KEEP_UNRESOLVED
2025-2025010923gm-00a9-0000-65e0833f-08-s3-d2,keep_control,4,-0.1698586917409557,0.2626809214907661,0.265625,0.2674640775540946,-0.2586045920060255,0.7898545920060255,UNRESOLVED,KEEP_UNRESOLVED
2025-2025011102gm-00a9-0000-034cfa13-01-s2-d3,keep_control,2,-0.23542678554076701,0.20726221436378858,0.1484375,0.385044389132381,-0.6062495026994668,0.9031245026994668,UNRESOLVED,KEEP_UNRESOLVED
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,keep_control,2,-0.21195010437077144,0.18002199102766905,0.015625,0.305984466217121,-0.5841045537855571,0.6153545537855571,UNRESOLVED,KEEP_UNRESOLVED
2025-2025011200gm-00a9-0000-18c17918-10-s0-d3,keep_control,2,-0.16191201081321083,0.2765629970248234,0.09375,0.35159279553561534,-0.5953718792498061,0.7828718792498061,UNRESOLVED,KEEP_UNRESOLVED
2025-2025011210gm-00a9-0000-65465afe-00-s3-d2,keep_control,3,-0.1446593256550841,0.20815525164402615,-0.6484375,0.5529604950204932,-1.7322400702401666,0.4353650702401666,UNRESOLVED,KEEP_UNRESOLVED
2025-2025011221gm-00a9-0000-22bab0de-00-s1-d0,keep_control,2,-0.15029589232290164,0.13950046462467344,-0.171875,0.45199105918788296,-1.0577774760082506,0.7140274760082506,UNRESOLVED,KEEP_UNRESOLVED
2025-2025040820gm-00a9-0000-57062ba3-01-s3-d4,keep_control,3,-0.38945889327442273,0.3234978942872791,-0.3359375,0.5876474232925117,-1.487726449653323,0.8158514496533229,UNRESOLVED,KEEP_UNRESOLVED
