threshold_abs_delta_grp,coverage,n,n_supported,n_rejected,n_unresolved,override_precision,precision_ci_lo,precision_ci_hi,mean_delta_full
0.0,1.0,30,6,2,22,0.75,0.40926987910258916,0.9285223111419724,0.43793402777777773
0.2,0.8666666666666667,26,6,1,19,0.8571428571428571,0.48686549668097007,0.9743210440510253,0.512520032051282
0.3,0.7666666666666667,23,6,0,17,1.0,0.6096569663469354,0.9999999999999999,0.6165081521739131
0.4,0.6,18,6,0,12,1.0,0.6096569663469354,0.9999999999999999,0.7165798611111112
0.5,0.36666666666666664,11,4,0,7,1.0,0.5100999795960008,1.0,0.8963068181818182
0.6,0.2,6,2,0,4,1.0,0.34237195288961925,1.0,1.4921875
0.8,0.1,3,2,0,1,1.0,0.34237195288961925,1.0,2.859375
1.0,0.06666666666666667,2,2,0,0,1.0,0.34237195288961925,1.0,4.0859375
1.5,0.06666666666666667,2,2,0,0,1.0,0.34237195288961925,1.0,4.0859375
2.0,0.03333333333333333,1,1,0,0,1.0,0.20654329147389294,1.0,5.65625
3.0,0.03333333333333333,1,1,0,0,1.0,0.20654329147389294,1.0,5.65625
4.0,0.03333333333333333,1,1,0,0,1.0,0.20654329147389294,1.0,5.65625
6.0,0.03333333333333333,1,1,0,0,1.0,0.20654329147389294,1.0,5.65625
