min_abs_delta_grp,coverage,n,determined_rate,override_rate,keep_top1_rate,override_expert_agreement,n_overrides
0.0,0.9833333333333333,413,0.4043583535108959,0.07263922518159806,0.33171912832929784,0.23333333333333334,30
0.1,0.8714285714285714,366,0.42896174863387976,0.07923497267759563,0.34972677595628415,0.2413793103448276,29
0.2,0.7166666666666667,301,0.4717607973421927,0.08637873754152824,0.3853820598006645,0.2692307692307692,26
0.3,0.5714285714285714,240,0.5,0.1,0.4,0.2916666666666667,24
0.4,0.4166666666666667,175,0.56,0.10857142857142857,0.4514285714285714,0.3684210526315789,19
0.5,0.3047619047619048,128,0.6015625,0.1015625,0.5,0.38461538461538464,13
0.6,0.2357142857142857,99,0.6060606060606061,0.09090909090909091,0.5151515151515151,0.3333333333333333,9
0.7,0.19285714285714287,81,0.5925925925925926,0.09876543209876543,0.49382716049382713,0.25,8
0.8,0.15,63,0.6031746031746031,0.09523809523809523,0.5079365079365079,0.16666666666666666,6
0.9,0.1261904761904762,53,0.6226415094339622,0.09433962264150944,0.5283018867924528,0.2,5
1.0,0.11190476190476191,47,0.6808510638297872,0.10638297872340426,0.574468085106383,0.2,5
1.1,0.09047619047619047,38,0.7105263157894737,0.13157894736842105,0.5789473684210527,0.2,5
1.2,0.07857142857142857,33,0.7272727272727273,0.15151515151515152,0.5757575757575758,0.2,5
1.3,0.05952380952380952,25,0.72,0.2,0.52,0.2,5
1.4,0.05952380952380952,25,0.72,0.2,0.52,0.2,5
1.5,0.05714285714285714,24,0.7083333333333334,0.16666666666666666,0.5416666666666666,0.25,4
1.6,0.047619047619047616,20,0.7,0.15,0.55,0.0,3
1.7,0.04285714285714286,18,0.6666666666666666,0.16666666666666666,0.5,0.0,3
1.8,0.04047619047619048,17,0.7058823529411765,0.17647058823529413,0.5294117647058824,0.0,3
1.9,0.03571428571428571,15,0.7333333333333333,0.2,0.5333333333333333,0.0,3
2.0,0.030952380952380953,13,0.6923076923076923,0.15384615384615385,0.5384615384615384,0.0,2
2.1,0.02619047619047619,11,0.6363636363636364,0.18181818181818182,0.45454545454545453,0.0,2
2.2,0.02619047619047619,11,0.6363636363636364,0.18181818181818182,0.45454545454545453,0.0,2
2.3,0.023809523809523808,10,0.7,0.2,0.5,0.0,2
2.4,0.01904761904761905,8,0.875,0.25,0.625,0.0,2
2.5,0.016666666666666666,7,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.0,2
2.6,0.016666666666666666,7,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.0,2
2.7,0.011904761904761904,5,0.8,0.2,0.6,0.0,1
2.8,0.011904761904761904,5,0.8,0.2,0.6,0.0,1
2.9,0.007142857142857143,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1
3.0,0.007142857142857143,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1
