decision_id,final_n,final_best,agree_n16,agree_n32,agree_n64
2024-2024091912gm-00a9-0000-86203624-06-s2-d3,128,1,True,False,False
2024-2024091912gm-00a9-0000-86203624-06-s2-d5,128,1,False,False,False
2024-2024091912gm-00a9-0000-86203624-09-s3-d17,64,2,True,True,True
2024-2024091912gm-00a9-0000-86203624-10-s3-d17,64,1,False,False,True
2024-2024091915gm-00a9-0000-7030187d-00-s3-d11,64,1,False,False,True
2024-2024091915gm-00a9-0000-7030187d-03-s3-d1,64,3,False,False,True
2024-2024091915gm-00a9-0000-7030187d-06-s0-d8,64,4,False,True,True
2024-2024091915gm-00a9-0000-7030187d-08-s1-d0,128,4,False,True,True
2024-2024091915gm-00a9-0000-7030187d-08-s2-d2,64,2,True,False,True
2024-2024091915gm-00a9-0000-7030187d-09-s1-d1,64,3,False,False,True
2024-2024091917gm-00a9-0000-24c42be7-04-s0-d17,128,4,False,False,False
2024-2024091917gm-00a9-0000-24c42be7-04-s3-d8,128,3,True,True,True
2024-2024091917gm-00a9-0000-24c42be7-06-s1-d9,64,3,True,True,True
2024-2024091917gm-00a9-0000-24c42be7-07-s0-d10,128,1,False,True,True
2024-2024091917gm-00a9-0000-24c42be7-09-s3-d7,64,4,True,True,True
2024-2024091920gm-00a9-0000-49049014-01-s1-d6,128,2,True,True,True
2024-2024091920gm-00a9-0000-49049014-01-s3-d5,64,3,False,True,True
2024-2024091920gm-00a9-0000-49049014-02-s1-d7,64,3,False,True,True
2024-2024091920gm-00a9-0000-49049014-02-s3-d10,128,2,False,False,True
2024-2024091920gm-00a9-0000-49049014-03-s0-d13,128,4,True,True,True
2024-2024091920gm-00a9-0000-49049014-03-s1-d0,64,2,False,False,True
2024-2024091920gm-00a9-0000-49049014-04-s1-d3,128,1,False,False,False
2024-2024091920gm-00a9-0000-49049014-05-s0-d8,64,1,False,True,True
2024-2024092000gm-00a9-0000-c29ace67-01-s0-d4,64,3,True,False,True
2024-2024092000gm-00a9-0000-c29ace67-06-s3-d2,64,2,False,True,True
2024-2024092000gm-00a9-0000-c29ace67-11-s3-d1,64,2,False,False,True
2024-2024092000gm-00a9-0000-c29ace67-12-s0-d0,64,2,False,True,True
2024-2024092000gm-00a9-0000-e0b6f7b7-01-s2-d14,64,1,False,False,True
2024-2024092000gm-00a9-0000-e0b6f7b7-05-s2-d5,64,2,True,True,True
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s2-d15,48,2,True,True,False
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s3-d1,64,4,True,False,True
2024-2024092000gm-00a9-0000-e0b6f7b7-07-s3-d19,32,2,True,True,False
2024-2024092013gm-00a9-0000-9cd6d54a-02-s3-d1,64,4,True,True,True
2024-2024092013gm-00a9-0000-9cd6d54a-06-s1-d2,64,1,True,False,True
2024-2024092013gm-00a9-0000-9cd6d54a-06-s3-d13,64,2,True,True,True
2024-2024092013gm-00a9-0000-9cd6d54a-08-s3-d12,64,3,True,True,True
2024-2024092013gm-00a9-0000-9cd6d54a-09-s2-d7,64,1,True,True,True
2024-2024092013gm-00a9-0000-9cd6d54a-10-s0-d8,48,1,True,True,False
2024-2024092101gm-00a9-0000-89973dff-00-s0-d18,64,1,False,False,True
2024-2024092101gm-00a9-0000-89973dff-00-s3-d5,64,4,True,False,True
2024-2024092101gm-00a9-0000-89973dff-01-s1-d0,64,2,False,False,True
2024-2024092101gm-00a9-0000-89973dff-02-s2-d4,64,2,False,False,True
2024-2024092101gm-00a9-0000-89973dff-03-s2-d5,128,4,False,False,True
2024-2024092101gm-00a9-0000-89973dff-03-s2-d7,64,2,True,True,True
2024-2024092101gm-00a9-0000-89973dff-06-s1-d8,64,4,True,True,True
2024-2024092123gm-00a9-0000-dc75db61-01-s1-d19,64,2,True,True,True
2024-2024092123gm-00a9-0000-dc75db61-01-s1-d5,64,1,True,True,True
2024-2024092123gm-00a9-0000-dc75db61-02-s0-d6,128,1,False,False,False
2024-2024092123gm-00a9-0000-dc75db61-02-s2-d9,64,2,True,True,True
2024-2024092213gm-00a9-0000-5f7264d2-04-s2-d1,128,2,False,False,False
2024-2024092213gm-00a9-0000-5f7264d2-07-s0-d11,128,3,False,False,True
2024-2024092213gm-00a9-0000-5f7264d2-07-s1-d6,64,1,False,False,True
2024-2024092220gm-00a9-0000-bb3aa554-02-s1-d1,64,1,True,True,True
2024-2024092220gm-00a9-0000-bb3aa554-03-s2-d5,64,1,False,True,True
2024-2024092220gm-00a9-0000-bb3aa554-03-s3-d2,64,1,True,True,True
2024-2024092220gm-00a9-0000-bb3aa554-04-s0-d8,64,3,True,False,True
